type;maxPower;minPower;gradP;gradM;eta;chi;stopTime;runTime;startCost;on;off
0;100;60;1;1;34;0,407;9;8;60;1;0
2000;100;50;2,5;2,5;40;0,407;7;6;60;1;0
2018;100;40;4;4;45;0,407;5;4;60;1;0
