type;maxPower;minPower;gradP;gradM;eta;chi;stopTime;runTime;startCost;on;off
0;100;40;8;8;0,4;0,202;4;4;20;1;0
2000;100;40;12;12;0,45;0,202;3;3;20;1;0
2018;100;40;15;15;0,5;0,202;2;2;20;1;0
