type;maxPower;minPower;gradP;gradM;eta;chi;stopTime;runTime;startCost;on;off
0;100;50;0,5;0,5;33;0;24;20;250;1;0
2000;100;45;0,5;0,5;35;0;24;15;250;1;0
2018;100;40;0,5;0,5;38;0;24;10;250;1;0
