type;maxPower;minPower;gradP;gradM;eta;chi;stopTime;runTime;startCost;on;off
0;100;40;1;1;36;0,355;9;8;60;1;0
2000;100;33;4;4;40;0,355;7;6;60;1;0
2018;100;25;6;6;45;0,355;5;4;60;1;0
